"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JavaScript JSX", "JSON", "CSS", "XML", "comment", "blank", "total"
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\Help.tsx", "TypeScript JSX", 0, 116, 0, 0, 0, 0, 0, 8, 8, 132
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\HistoryItemDisplay.test.tsx", "TypeScript JSX", 0, 97, 0, 0, 0, 0, 0, 6, 10, 113
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\HistoryItemDisplay.tsx", "TypeScript JSX", 0, 83, 0, 0, 0, 0, 0, 6, 4, 93
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\InputPrompt.test.tsx", "TypeScript JSX", 0, 154, 0, 0, 0, 0, 0, 5, 29, 188
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\InputPrompt.tsx", "TypeScript JSX", 0, 404, 0, 0, 0, 0, 0, 21, 27, 452
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\LoadingIndicator.test.tsx", "TypeScript JSX", 0, 188, 0, 0, 0, 0, 0, 9, 18, 215
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\LoadingIndicator.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 0, 0, 6, 7, 61
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\MemoryUsageDisplay.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 5, 5, 37
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\ModelStatsDisplay.test.tsx", "TypeScript JSX", 0, 212, 0, 0, 0, 0, 0, 6, 18, 236
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\ModelStatsDisplay.tsx", "TypeScript JSX", 0, 173, 0, 0, 0, 0, 0, 9, 16, 198
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\SessionSummaryDisplay.test.tsx", "TypeScript JSX", 0, 54, 0, 0, 0, 0, 0, 5, 9, 68
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\SessionSummaryDisplay.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 5, 4, 19
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\ShellModeIndicator.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 0, 5, 3, 19
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\ShowMoreLines.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 5, 6, 41
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\StatsDisplay.test.tsx", "TypeScript JSX", 0, 270, 0, 0, 0, 0, 0, 6, 28, 304
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\StatsDisplay.tsx", "TypeScript JSX", 0, 228, 0, 0, 0, 0, 0, 13, 19, 260
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\SuggestionsDisplay.tsx", "TypeScript JSX", 0, 77, 0, 0, 0, 0, 0, 8, 9, 94
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\ThemeDialog.tsx", "TypeScript JSX", 0, 207, 0, 0, 0, 0, 0, 26, 26, 259
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\Tips.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 5, 4, 46
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\ToolStatsDisplay.test.tsx", "TypeScript JSX", 0, 155, 0, 0, 0, 0, 0, 6, 16, 177
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\ToolStatsDisplay.tsx", "TypeScript JSX", 0, 182, 0, 0, 0, 0, 0, 10, 17, 209
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\UpdateNotification.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 5, 4, 24
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\CompressionMessage.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 9, 5, 50
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\DiffRenderer.test.tsx", "TypeScript JSX", 0, 335, 0, 0, 0, 0, 0, 8, 20, 363
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\DiffRenderer.tsx", "TypeScript JSX", 0, 262, 0, 0, 0, 0, 0, 23, 28, 313
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\ErrorMessage.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 5, 5, 32
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\GeminiMessage.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 5, 5, 44
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\GeminiMessageContent.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 11, 5, 44
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\InfoMessage.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 5, 5, 32
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\ToolConfirmationMessage.test.tsx", "TypeScript JSX", 0, 46, 0, 0, 0, 0, 0, 5, 8, 59
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\ToolConfirmationMessage.tsx", "TypeScript JSX", 0, 213, 0, 0, 0, 0, 0, 15, 23, 251
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\ToolGroupMessage.tsx", "TypeScript JSX", 0, 100, 0, 0, 0, 0, 0, 16, 8, 124
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\ToolMessage.test.tsx", "TypeScript JSX", 0, 153, 0, 0, 0, 0, 0, 12, 17, 182
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\ToolMessage.tsx", "TypeScript JSX", 0, 172, 0, 0, 0, 0, 0, 11, 12, 195
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\messages\UserMessage.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 0, 5, 5, 40
