"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "XML", "CSS", "comment", "blank", "total"
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\NavbarPage\NavbarPage.css", "CSS", 0, 0, 0, 0, -89, -1, -13, -103
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\NavbarPage\NavbarPage.js", "JavaScript", -297, 0, 0, 0, 0, 0, -12, -309
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\OptimizedImage.js", "JavaScript", -63, 0, 0, 0, 0, 0, -4, -67
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\ResumeViewer\ResumeViewer.js", "JavaScript", -559, 0, 0, 0, 0, -4, -15, -578
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Router\PrivateRoute.js", "JavaScript", -11, 0, 0, 0, 0, -1, -5, -17
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Router\router.js", "JavaScript", -159, 0, 0, 0, 0, -3, -6, -168
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\SkillTag.js", "JavaScript", -16, 0, 0, 0, 0, -2, -4, -22
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\resumes\ResumeLayout.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\resumes\VideoResume\VideoResume.js", "JavaScript", -12, 0, 0, 0, 0, 0, -4, -16
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\data\blogData.json", "JSON", 0, 0, -272, 0, 0, 0, -1, -273
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\data\galleryData.js", "JavaScript", -223, 0, 0, 0, 0, 0, -2, -225
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\firebase\firebase.config.js", "JavaScript", -13, 0, 0, 0, 0, -2, -5, -20
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\index.css", "CSS", 0, 0, 0, 0, -234, -29, -45, -308
